address,end_address,name,kind,subtype,size_bytes,width_bits,signed,rows,cols,subsystem,confidence,inbound_xrefs,callers,description,evidence,aliases,generated
0x00C1,0x00C2,base_fuel_pulse_accumulator,ram,u16be,2,16,,,,fuel,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00C3,0x00C4,final_fuel_duration,ram,u16be,2,16,,,,fuel,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00CC,0x00CD,filtered_o2_or_lambda_word,ram,u16,2,16,,,,closed-loop,strong,0,,Filtered analog word feeding shared axis 0x2040; physical O2/lambda identity remains hardware-provisional.,decoded producer/consumer instruction flow,,false
0x00CE,0x00CF,load_aircharge_word,ram,u16be,2,16,,,,air-load,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00D0,0x00D0,load_aircharge_byte,ram,variable,1,8,,,,air-load,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00D3,0x00D3,inverse_period_rpm_byte,ram,u8,1,8,,,,speed-rpm,strong,0,,Reduced inverse-period RPM-like value derived by 0x4292.,decoded producer/consumer instruction flow,,false
0x00D4,0x00D5,inverse_period_rpm_word,ram,u16,2,16,,,,speed-rpm,confirmed,0,,Inverse-period RPM-like word derived from engine period 0x00BA.,decoded producer/consumer instruction flow,,false
0x00D9,0x00DA,captured_timer_value,ram,u16be,2,16,,,,scheduler,working,0,,Runtime RAM symbol based on producer/consumer paths.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x00FD,0x00FD,math_work_lo,ram,u8,1,8,,,,math,confirmed,0,,Low byte / pointer scratch used by multiply helpers.,decoded producer/consumer instruction flow,,false
0x00FE,0x00FE,math_work_hi,ram,u8,1,8,,,,math,confirmed,0,,High byte scratch used by multiply helpers.,decoded producer/consumer instruction flow,,false
0x00FF,0x00FF,math_work_ext,ram,u8,1,8,,,,math,confirmed,0,,Extension byte used by saturating multiply/shift helpers.,decoded producer/consumer instruction flow,,false
0x1000,0x1000,PORTA,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1008,0x1008,PORTD,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x1009,0x1009,DDRD,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x100B,0x100B,CFORC,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
0x100E,0x100E,TCNT,mcu_io,register,1,8,,,,mcu,confirmed-family,0,,Standard 68HC11 register-layout name; exact MCU mask remains to be identified.,existing reverse-engineering bundle / repository LOGIC.md,,false
